"Book0","Author0","Publisher0","ISBN0","Available"
"Book1","Author1","Publisher1","ISBN1","Available"
"Book2","Author2","Publisher2","ISBN2","Available"
"Book3","Author3","Publisher3","ISBN3","Available"
"Book4","Author4","Publisher4","ISBN4","Available"
"Book5","Author5","Publisher5","ISBN5","Available"
"Book6","Author6","Publisher6","ISBN6","Available"
"Book7","Author7","Publisher7","ISBN7","Available"
"Book8","Author8","Publisher8","ISBN8","Available"
"Book9","Author9","Publisher9","ISBN9","Available"
